catalog,activityID,location,eventTime,submissionTime,versionId,link,instruments
M2M_CATALOG,2021-10-12T12:30:00-IPS-001,STEREO A,2021-10-12T12:30Z,2021-10-12T16:36Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17946/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-10-14T04:00:00-IPS-001,STEREO A,2021-10-14T04:00Z,2021-10-18T19:03Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/18010/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-10-14T20:00:00-IPS-001,Earth,2021-10-14T20:00Z,2021-10-16T12:22Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17974/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-10-16T00:09:00-IPS-001,Earth,2021-10-16T00:09Z,2021-10-16T12:13Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/17973/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-10-17T19:30:00-IPS-001,Earth,2021-10-17T19:30Z,2021-10-18T19:56Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/18007/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-10-18T07:53:00-IPS-001,STEREO A,2021-10-18T07:53Z,2021-10-18T19:57Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/18005/-1,"[{'displayName': 'STEREO A: IMPACT'}, {'displayName': 'STEREO A: PLASTIC'}]"
M2M_CATALOG,2021-10-18T18:27:00-IPS-001,Earth,2021-10-18T18:27Z,2021-10-18T19:24Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/18013/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-10-20T20:35:00-IPS-001,Earth,2021-10-20T20:35Z,2021-10-21T12:41Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/18025/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
M2M_CATALOG,2021-10-30T12:00:00-IPS-001,STEREO A,2021-10-30T12:00Z,2021-11-01T17:43Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/18129/-1,[{'displayName': 'STEREO A: IMPACT'}]
M2M_CATALOG,2021-10-30T16:25:00-IPS-001,Earth,2021-10-30T16:25Z,2023-03-02T20:44Z,8,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/IPS/18134/-1,"[{'displayName': 'DSCOVR: PLASMAG'}, {'displayName': 'ACE: SWEPAM'}, {'displayName': 'ACE: MAG'}]"
